% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
211.0,1266.0,6.0,0.0,1266.0,211.0,211.0,7968.0,1328.0,1328.0,No
54.0,324.0,6.0,0.0,324.0,54.0,54.0,7968.0,1328.0,1328.0,No
221.0,1410.0,18.0,0.0,1368.0,221.0,76.0,8142.0,1328.0,452.0,No
705.0,4542.0,18.0,0.0,4386.0,711.0,243.0,8124.0,1328.0,451.0,No
116.0,696.0,6.0,0.0,696.0,116.0,116.0,7968.0,1328.0,1328.0,No
443.0,2874.0,12.0,0.0,2766.0,436.0,230.0,8004.0,1328.0,667.0,No
119.0,714.0,6.0,0.0,714.0,119.0,119.0,7968.0,1328.0,1328.0,No
311.0,2046.0,18.0,0.0,1956.0,304.0,108.0,7992.0,1328.0,444.0,No
90.0,540.0,6.0,0.0,540.0,90.0,90.0,7968.0,1328.0,1328.0,No
41.0,246.0,6.0,0.0,246.0,41.0,41.0,7968.0,1328.0,1328.0,No
32.0,192.0,6.0,0.0,192.0,32.0,32.0,7968.0,1328.0,1328.0,No
33.0,198.0,6.0,0.0,198.0,33.0,33.0,7968.0,1328.0,1328.0,No
272.0,1872.0,18.0,0.0,1752.0,271.0,97.0,8190.0,1328.0,455.0,No
48.0,360.0,18.0,0.0,324.0,41.0,18.0,8190.0,1328.0,455.0,No
96.0,684.0,18.0,0.0,612.0,102.0,34.0,8676.0,1328.0,482.0,No
259.0,1602.0,12.0,0.0,1578.0,209.0,131.0,8016.0,1328.0,668.0,No
69.0,546.0,18.0,0.0,486.0,67.0,27.0,8694.0,1328.0,483.0,No
82.0,492.0,6.0,0.0,492.0,82.0,82.0,7968.0,1328.0,1328.0,No
268.0,1992.0,24.0,0.0,1794.0,221.0,74.0,8748.0,1328.0,364.0,No
176.0,1056.0,6.0,0.0,1056.0,176.0,176.0,7968.0,1328.0,1328.0,No
37.0,222.0,6.0,0.0,222.0,37.0,37.0,7968.0,1328.0,1328.0,No
237.0,1692.0,18.0,0.0,1596.0,224.0,88.0,8712.0,1328.0,484.0,No
334.0,2004.0,6.0,0.0,2004.0,334.0,334.0,7968.0,1328.0,1328.0,No
263.0,1962.0,18.0,0.0,1770.0,263.0,98.0,8676.0,1328.0,482.0,No
249.0,1842.0,24.0,0.0,1698.0,234.0,70.0,8778.0,1328.0,365.0,No
305.0,2022.0,18.0,0.0,1926.0,309.0,107.0,8064.0,1328.0,448.0,No
235.0,1518.0,12.0,0.0,1464.0,219.0,122.0,7980.0,1328.0,665.0,No
527.0,3978.0,36.0,0.0,3534.0,553.0,98.0,8724.0,1328.0,242.0,No
195.0,1170.0,6.0,0.0,1170.0,195.0,195.0,7968.0,1328.0,1328.0,No
70.0,816.0,18.0,0.0,636.0,64.0,35.0,8676.0,1328.0,482.0,No
555.0,4224.0,30.0,0.0,3822.0,537.0,127.0,8736.0,1328.0,291.0,No
110.0,660.0,6.0,0.0,660.0,110.0,110.0,7968.0,1328.0,1328.0,No
194.0,1164.0,6.0,0.0,1164.0,194.0,194.0,7968.0,1328.0,1328.0,No
187.0,1122.0,6.0,0.0,1122.0,187.0,187.0,7968.0,1328.0,1328.0,No
140.0,840.0,6.0,0.0,840.0,140.0,140.0,7968.0,1328.0,1328.0,No
100.0,600.0,6.0,0.0,600.0,100.0,100.0,7968.0,1328.0,1328.0,No
274.0,1932.0,18.0,0.0,1824.0,262.0,101.0,8712.0,1328.0,484.0,No
174.0,1044.0,6.0,0.0,1044.0,174.0,174.0,7968.0,1328.0,1328.0,No
295.0,2400.0,18.0,0.0,2124.0,282.0,118.0,8712.0,1328.0,484.0,No
107.0,642.0,6.0,0.0,642.0,107.0,107.0,7968.0,1328.0,1328.0,No
357.0,2142.0,6.0,0.0,2142.0,357.0,357.0,7968.0,1328.0,1328.0,No
609.0,3894.0,12.0,0.0,3774.0,600.0,314.0,7968.0,1328.0,664.0,No
185.0,1110.0,6.0,0.0,1110.0,185.0,185.0,7968.0,1328.0,1328.0,No
206.0,1380.0,18.0,0.0,1332.0,198.0,74.0,8676.0,1328.0,482.0,No
45.0,270.0,6.0,0.0,270.0,45.0,45.0,7968.0,1328.0,1328.0,No
70.0,420.0,6.0,0.0,420.0,70.0,70.0,7968.0,1328.0,1328.0,No
348.0,2088.0,6.0,0.0,2088.0,348.0,348.0,7968.0,1328.0,1328.0,No
574.0,3564.0,18.0,0.0,3504.0,576.0,194.0,8118.0,1328.0,451.0,No
495.0,2970.0,12.0,0.0,2970.0,493.0,247.0,8034.0,1328.0,669.0,No
165.0,1002.0,12.0,0.0,996.0,165.0,83.0,7980.0,1328.0,665.0,No
506.0,3036.0,6.0,0.0,3036.0,506.0,506.0,7968.0,1328.0,1328.0,No
121.0,726.0,6.0,0.0,726.0,121.0,121.0,7968.0,1328.0,1328.0,No
96.0,576.0,6.0,0.0,576.0,96.0,96.0,7968.0,1328.0,1328.0,No
59.0,354.0,6.0,0.0,354.0,59.0,59.0,7968.0,1328.0,1328.0,No
856.0,5136.0,6.0,0.0,5136.0,856.0,856.0,7968.0,1328.0,1328.0,No
301.0,2118.0,24.0,0.0,1974.0,239.0,82.0,8730.0,1328.0,363.0,No
114.0,684.0,6.0,0.0,684.0,114.0,114.0,7968.0,1328.0,1328.0,No
112.0,672.0,6.0,0.0,672.0,112.0,112.0,7968.0,1328.0,1328.0,No
235.0,1410.0,6.0,0.0,1410.0,235.0,235.0,7968.0,1328.0,1328.0,No
208.0,1758.0,24.0,0.0,1590.0,179.0,66.0,8760.0,1328.0,365.0,No
